testName,thisNode,thisID,thatID,timeDelta,message
complete,node3,0,0,2.447000,message sent 0
complete,node3,0,0,2.530000,message sent 1
complete,node3,0,0,2.538000,message sent 2
complete,node3,0,0,2.543000,message sent 3
complete,node3,0,0,2.547000,message sent 4
complete,node3,0,0,2.552000,message sent 5
complete,node3,0,0,2.557000,message sent 6
complete,node3,0,0,2.562000,message sent 7
complete,node3,0,0,2.566000,message sent 8
complete,node3,0,0,2.571000,message sent 9
complete,node3,0,0,2.576000,message sent 10
complete,node3,0,0,2.582000,message sent 11
complete,node3,0,1,2.588000,message sent 0
complete,node3,0,1,2.593000,message sent 1
complete,node3,0,1,2.597000,message sent 2
complete,node3,0,1,2.602000,message sent 3
complete,node3,0,1,2.607000,message sent 4
complete,node3,0,1,2.611000,message sent 5
complete,node3,0,1,2.616000,message sent 6
complete,node3,0,1,2.620000,message sent 7
complete,node3,0,1,2.626000,message sent 8
complete,node3,0,1,2.630000,message sent 9
complete,node3,0,1,2.635000,message sent 10
complete,node3,0,1,2.639000,message sent 11
complete,node3,0,2,2.644000,message sent 0
complete,node3,0,2,2.649000,message sent 1
complete,node3,0,2,2.653000,message sent 2
complete,node3,1,0,2.629000,message received 0
complete,node3,1,0,2.694000,message received 1
complete,node3,1,0,2.698000,message received 2
complete,node3,1,0,2.700000,message received 3
complete,node3,0,2,2.657000,message sent 3
complete,node3,0,2,2.662000,message sent 4
complete,node3,0,2,2.666000,message sent 5
complete,node3,0,2,2.670000,message sent 6
complete,node3,0,2,2.674000,message sent 7
complete,node3,1,0,2.702000,message received 4
complete,node3,1,0,2.706000,message received 5
complete,node3,1,0,2.709000,message received 6
complete,node3,1,0,2.711000,message received 7
complete,node3,1,0,2.713000,message received 8
complete,node3,1,0,2.715000,message received 9
complete,node3,1,0,2.717000,message received 10
complete,node3,1,0,2.719000,message received 11
complete,node4,3,0,2.719000,message received 0
complete,node4,3,0,2.809000,message received 1
complete,node4,3,0,2.816000,message received 2
complete,node4,3,0,2.820000,message received 3
complete,node4,3,0,2.823000,message received 4
complete,node4,3,0,2.826000,message received 5
complete,node4,3,0,2.830000,message received 6
complete,node4,3,0,2.833000,message received 7
complete,node4,3,0,2.836000,message received 8
complete,node3,0,2,2.679000,message sent 8
complete,node3,0,2,2.684000,message sent 9
complete,node3,0,2,2.688000,message sent 10
complete,node3,1,0,2.726000,message sent 0
complete,node3,1,0,2.731000,message sent 1
complete,node3,1,0,2.733000,message sent 2
complete,node3,1,0,2.735000,message sent 3
complete,node3,0,2,2.693000,message sent 11
complete,node3,0,3,2.698000,message sent 0
complete,node3,0,3,2.703000,message sent 1
complete,node3,0,3,2.708000,message sent 2
complete,node3,1,0,2.737000,message sent 4
complete,node3,1,0,2.740000,message sent 5
complete,node3,1,0,2.742000,message sent 6
complete,node3,1,0,2.744000,message sent 7
complete,node3,1,0,2.746000,message sent 8
complete,node3,1,0,2.748000,message sent 9
complete,node3,1,0,2.750000,message sent 10
complete,node3,1,0,2.753000,message sent 11
complete,node4,3,0,2.840000,message received 9
complete,node4,3,0,2.843000,message received 10
complete,node4,3,0,2.847000,message received 11
complete,node3,2,0,2.658000,message received 0
complete,node3,2,0,2.718000,message received 1
complete,node3,2,0,2.725000,message received 2
complete,node4,4,0,2.791000,message received 0
complete,node4,4,0,2.855000,message received 1
complete,node4,4,0,2.862000,message received 2
complete,node4,4,0,2.864000,message received 3
complete,node4,4,0,2.866000,message received 4
complete,node4,4,0,2.868000,message received 5
complete,node4,4,0,2.870000,message received 6
complete,node4,4,0,2.872000,message received 7
complete,node4,4,0,2.874000,message received 8
complete,node4,4,0,2.875000,message received 9
complete,node4,4,0,2.893000,message received 10
complete,node4,4,0,2.896000,message received 11
complete,node3,0,3,2.713000,message sent 3
complete,node3,0,3,2.719000,message sent 4
complete,node3,0,3,2.724000,message sent 5
complete,node3,0,3,2.729000,message sent 6
complete,node3,0,3,2.734000,message sent 7
complete,node3,0,3,2.740000,message sent 8
complete,node4,5,0,2.842000,message received 0
complete,node4,5,0,2.910000,message received 1
complete,node3,2,0,2.730000,message received 3
complete,node3,2,0,2.736000,message received 4
complete,node3,2,0,2.741000,message received 5
complete,node3,2,0,2.746000,message received 6
complete,node3,2,0,2.751000,message received 7
complete,node3,2,0,2.756000,message received 8
complete,node4,5,0,2.922000,message received 2
complete,node4,5,0,2.930000,message received 3
complete,node4,5,0,2.934000,message received 4
complete,node4,5,0,2.940000,message received 5
complete,node4,5,0,2.947000,message received 6
complete,node4,5,0,2.951000,message received 7
complete,node3,0,3,2.745000,message sent 9
complete,node3,0,3,2.750000,message sent 10
complete,node3,0,3,2.755000,message sent 11
complete,node3,0,4,2.761000,message sent 0
complete,node3,0,4,2.766000,message sent 1
complete,node4,5,0,2.956000,message received 8
complete,node4,5,0,2.961000,message received 9
complete,node4,5,0,2.966000,message received 10
complete,node3,2,0,2.762000,message received 9
complete,node3,2,0,2.767000,message received 10
complete,node3,2,0,2.773000,message received 11
complete,node4,5,0,2.971000,message received 11
complete,node3,0,4,2.771000,message sent 2
complete,node3,0,4,2.776000,message sent 3
complete,node3,0,4,2.780000,message sent 4
complete,node3,0,4,2.785000,message sent 5
complete,node3,0,4,2.790000,message sent 6
complete,node3,0,4,2.795000,message sent 7
complete,node3,0,4,2.801000,message sent 8
complete,node3,0,4,2.806000,message sent 9
complete,node3,0,4,2.811000,message sent 10
complete,node3,0,4,2.816000,message sent 11
complete,node3,0,5,2.822000,message sent 0
complete,node3,0,5,2.827000,message sent 1
complete,node3,0,5,2.902000,message sent 2
complete,node3,0,5,2.909000,message sent 3
complete,node3,0,5,2.914000,message sent 4
complete,node3,0,5,2.920000,message sent 5
complete,node3,0,5,2.926000,message sent 6
complete,node3,0,5,2.931000,message sent 7
complete,node3,0,5,2.936000,message sent 8
complete,node3,0,5,2.941000,message sent 9
complete,node3,0,5,2.945000,message sent 10
complete,node3,0,5,2.951000,message sent 11
complete,node3,0,0,2.959000,message received 0
complete,node3,0,0,2.966000,message received 1
complete,node3,0,0,2.971000,message received 2
complete,node3,0,0,2.976000,message received 3
complete,node3,0,0,2.980000,message received 4
complete,node3,0,0,2.985000,message received 5
complete,node3,0,0,2.990000,message received 6
complete,node3,0,0,2.994000,message received 7
complete,node3,0,0,2.999000,message received 8
complete,node3,0,0,3.003000,message received 9
complete,node3,0,0,3.008000,message received 10
complete,node3,0,0,3.013000,message received 11
complete,node3,0,1,3.018000,message received 0
complete,node3,0,1,3.023000,message received 1
complete,node3,0,1,3.034000,message received 2
complete,node3,0,1,3.038000,message received 3
complete,node3,0,1,3.043000,message received 4
complete,node3,0,1,3.048000,message received 5
complete,node3,0,1,3.052000,message received 6
complete,node3,0,1,3.057000,message received 7
complete,node3,0,1,3.061000,message received 8
complete,node3,0,1,3.066000,message received 9
