testName,thisNode,thisID,thatID,timeDelta,message
ring,node3,1,0,0.033000,message received 0
ring,node3,0,1,0.009000,message sent 0
ring,node3,0,1,0.099000,message sent 1
ring,node3,0,1,0.106000,message sent 2
ring,node3,0,1,0.110000,message sent 3
ring,node3,0,1,0.115000,message sent 4
ring,node3,0,1,0.120000,message sent 5
ring,node3,0,1,0.124000,message sent 6
ring,node3,0,1,0.129000,message sent 7
ring,node3,0,1,0.133000,message sent 8
ring,node3,1,0,0.122000,message received 1
ring,node3,1,0,0.129000,message received 2
ring,node3,1,0,0.134000,message received 3
ring,node3,0,1,0.136000,message sent 9
ring,node3,1,0,0.170000,message received 4
ring,node3,1,0,0.177000,message received 5
ring,node3,1,0,0.183000,message received 6
ring,node3,1,0,0.188000,message received 7
ring,node3,1,0,0.194000,message received 8
ring,node3,1,0,0.199000,message received 9
ring,node3,1,2,0.257000,message sent 0
ring,node3,1,2,0.270000,message sent 1
ring,node3,1,2,0.274000,message sent 2
ring,node3,1,2,0.277000,message sent 3
ring,node3,1,2,0.279000,message sent 4
ring,node3,1,2,0.283000,message sent 5
ring,node3,1,2,0.286000,message sent 6
ring,node3,1,2,0.289000,message sent 7
ring,node3,1,2,0.292000,message sent 8
ring,node3,1,2,0.294000,message sent 9
ring,node3,2,1,0.242000,message received 0
ring,node3,2,1,0.313000,message received 1
ring,node3,2,1,0.323000,message received 2
ring,node3,2,1,0.330000,message received 3
ring,node3,2,1,0.338000,message received 4
ring,node3,2,1,0.345000,message received 5
ring,node3,2,1,0.353000,message received 6
ring,node3,2,1,0.361000,message received 7
ring,node3,2,1,0.368000,message received 8
ring,node3,2,1,0.375000,message received 9
ring,node4,3,2,0.438000,message received 0
ring,node4,3,2,0.518000,message received 1
ring,node4,3,2,0.525000,message received 2
ring,node4,3,2,0.528000,message received 3
ring,node4,3,2,0.532000,message received 4
ring,node4,3,2,0.535000,message received 5
ring,node4,3,2,0.538000,message received 6
ring,node4,3,2,0.541000,message received 7
ring,node3,2,3,0.390000,message sent 0
ring,node3,2,3,0.400000,message sent 1
ring,node3,2,3,0.406000,message sent 2
ring,node3,2,3,0.414000,message sent 3
ring,node3,2,3,0.420000,message sent 4
ring,node3,2,3,0.428000,message sent 5
ring,node3,2,3,0.433000,message sent 6
ring,node3,2,3,0.443000,message sent 7
ring,node3,2,3,0.450000,message sent 8
ring,node3,2,3,0.457000,message sent 9
ring,node4,3,2,0.545000,message received 8
ring,node4,3,2,0.550000,message received 9
ring,node4,3,4,0.559000,message sent 0
ring,node4,3,4,0.565000,message sent 1
ring,node4,3,4,0.569000,message sent 2
ring,node4,3,4,0.572000,message sent 3
ring,node4,3,4,0.576000,message sent 4
ring,node4,3,4,0.580000,message sent 5
ring,node4,3,4,0.583000,message sent 6
ring,node4,3,4,0.587000,message sent 7
ring,node4,3,4,0.591000,message sent 8
ring,node4,3,4,0.595000,message sent 9
ring,node4,4,3,0.565000,message received 0
ring,node4,4,3,0.643000,message received 1
ring,node3,0,5,0.733000,message sent 0
ring,node3,0,5,0.755000,message sent 1
ring,node3,0,5,0.761000,message sent 2
ring,node3,0,5,0.766000,message sent 3
ring,node3,0,5,0.772000,message sent 4
ring,node3,0,5,0.777000,message sent 5
ring,node3,0,5,0.782000,message sent 6
ring,node3,0,5,0.787000,message sent 7
ring,node4,4,3,0.647000,message received 2
ring,node4,4,3,0.650000,message received 3
ring,node4,4,3,0.653000,message received 4
ring,node4,4,3,0.655000,message received 5
ring,node4,4,3,0.657000,message received 6
ring,node4,4,3,0.659000,message received 7
ring,node4,4,3,0.661000,message received 8
ring,node4,4,3,0.664000,message received 9
ring,node4,4,5,0.671000,message sent 0
ring,node4,4,5,0.675000,message sent 1
ring,node4,4,5,0.677000,message sent 2
ring,node4,4,5,0.679000,message sent 3
ring,node4,4,5,0.681000,message sent 4
ring,node4,4,5,0.683000,message sent 5
ring,node4,4,5,0.685000,message sent 6
ring,node4,4,5,0.687000,message sent 7
ring,node4,4,5,0.690000,message sent 8
ring,node4,4,5,0.692000,message sent 9
ring,node3,0,5,0.792000,message sent 8
ring,node3,0,5,0.797000,message sent 9
ring,node3,0,1,0.803000,message sent 0
ring,node3,0,1,0.808000,message sent 1
ring,node3,0,1,0.812000,message sent 2
ring,node4,5,4,0.667000,message received 0
ring,node3,1,0,0.827000,message received 0
ring,node3,1,0,0.831000,message received 1
ring,node3,1,0,0.835000,message received 2
ring,node3,1,0,0.841000,message received 3
ring,node3,1,0,0.845000,message received 4
ring,node4,5,4,0.730000,message received 1
ring,node4,5,4,0.736000,message received 2
ring,node3,0,1,0.817000,message sent 3
ring,node3,0,1,0.821000,message sent 4
ring,node3,0,1,0.826000,message sent 5
ring,node3,0,1,0.830000,message sent 6
ring,node3,0,1,0.835000,message sent 7
ring,node3,0,1,0.839000,message sent 8
ring,node3,0,1,0.844000,message sent 9
ring,node4,5,4,0.740000,message received 3
ring,node4,5,4,0.745000,message received 4
ring,node4,5,4,0.749000,message received 5
ring,node4,5,4,0.759000,message received 6
ring,node4,5,4,0.763000,message received 7
ring,node3,1,0,0.849000,message received 5
ring,node3,1,0,0.854000,message received 6
ring,node3,1,0,0.858000,message received 7
ring,node3,1,0,0.863000,message received 8
ring,node3,1,0,0.867000,message received 9
ring,node3,1,2,0.870000,message sent 0
ring,node3,1,2,0.873000,message sent 1
ring,node4,5,4,0.767000,message received 8
ring,node4,5,4,0.772000,message received 9
ring,node3,1,2,0.876000,message sent 2
ring,node3,1,2,0.885000,message sent 3
ring,node3,1,2,0.888000,message sent 4
ring,node3,1,2,0.891000,message sent 5
ring,node3,1,2,0.894000,message sent 6
ring,node3,1,2,0.897000,message sent 7
ring,node3,1,2,0.899000,message sent 8
ring,node3,1,2,0.902000,message sent 9
ring,node4,5,6,0.781000,message sent 0
ring,node4,5,6,0.787000,message sent 1
ring,node3,2,1,0.860000,message received 0
ring,node3,2,1,0.873000,message received 1
ring,node3,2,1,0.879000,message received 2
ring,node3,2,1,0.884000,message received 3
ring,node3,2,1,0.889000,message received 4
ring,node3,2,1,0.894000,message received 5
ring,node3,2,1,0.899000,message received 6
ring,node3,2,1,0.903000,message received 7
ring,node3,2,1,0.908000,message received 8
ring,node4,5,6,0.807000,message sent 2
ring,node3,2,1,0.913000,message received 9
ring,node3,2,3,0.919000,message sent 0
ring,node4,5,6,0.813000,message sent 3
ring,node4,5,6,0.817000,message sent 4
ring,node3,2,3,0.925000,message sent 1
ring,node3,2,3,0.930000,message sent 2
ring,node3,2,3,0.935000,message sent 3
ring,node3,2,3,0.940000,message sent 4
ring,node4,5,6,0.823000,message sent 5
ring,node4,5,6,0.828000,message sent 6
ring,node3,2,3,0.945000,message sent 5
ring,node3,2,3,0.950000,message sent 6
ring,node4,5,6,0.832000,message sent 7
ring,node4,5,6,0.837000,message sent 8
ring,node4,5,6,0.841000,message sent 9
ring,node3,2,3,0.955000,message sent 7
ring,node3,2,3,0.961000,message sent 8
ring,node4,3,2,0.958000,message received 0
ring,node4,3,2,0.967000,message received 1
ring,node3,2,3,0.969000,message sent 9
ring,node4,3,2,0.972000,message received 2
ring,node4,3,2,0.976000,message received 3
ring,node3,0,5,1.049000,message sent 0
ring,node3,0,5,1.058000,message sent 1
ring,node4,3,2,0.980000,message received 4
ring,node4,3,2,0.985000,message received 5
ring,node4,3,2,0.990000,message received 6
ring,node4,3,2,0.994000,message received 7
ring,node3,0,5,1.063000,message sent 2
ring,node3,0,5,1.068000,message sent 3
ring,node4,3,2,1.000000,message received 8
ring,node4,3,2,1.004000,message received 9
ring,node3,0,5,1.072000,message sent 4
ring,node3,0,5,1.077000,message sent 5
ring,node3,0,5,1.081000,message sent 6
ring,node4,3,4,1.009000,message sent 0
ring,node4,3,4,1.013000,message sent 1
ring,node3,0,5,1.087000,message sent 7
ring,node3,0,5,1.091000,message sent 8
ring,node3,0,5,1.095000,message sent 9
ring,node4,4,3,1.014000,message received 0
ring,node4,4,3,1.019000,message received 1
ring,node4,4,3,1.026000,message received 2
ring,node3,0,1,1.100000,message sent 0
ring,node3,0,1,1.105000,message sent 1
ring,node4,3,4,1.020000,message sent 2
ring,node4,3,4,1.025000,message sent 3
ring,node4,3,4,1.029000,message sent 4
ring,node4,3,4,1.033000,message sent 5
ring,node3,1,0,1.124000,message received 0
ring,node3,1,0,1.129000,message received 1
